Date,"Open, Ask","High, Ask","Low, Ask","Close, Ask","Open, Bid","High, Bid","Low, Bid","Close, Bid",SSI
29/08/2011 00:00:00,1.05801,1.06622,1.05629,1.06622,1.05772,1.06598,1.05594,1.06477,-1.5265
26/08/2011 00:00:00,1.04322,1.05940,1.04192,1.05801,1.04289,1.05918,1.04164,1.05772,-1.4054
25/08/2011 00:00:00,1.04751,1.05143,1.04242,1.04322,1.04729,1.05125,1.04220,1.04289,1.2912
24/08/2011 00:00:00,1.05272,1.05340,1.04484,1.04751,1.05249,1.05313,1.04464,1.04729,1.3434
23/08/2011 00:00:00,1.04101,1.05351,1.03877,1.05272,1.04083,1.05335,1.03854,1.05249,1.0124
22/08/2011 00:00:00,1.04044,1.04740,1.03644,1.04101,1.04023,1.04721,1.03613,1.04083,1.4087
19/08/2011 00:00:00,1.03941,1.04822,1.03165,1.04044,1.03868,1.04804,1.03144,1.04023,1.4894
18/08/2011 00:00:00,1.05522,1.05592,1.03539,1.03941,1.05469,1.05574,1.03516,1.03868,1.5544
17/08/2011 00:00:00,1.04871,1.06029,1.04346,1.05522,1.04829,1.06009,1.04325,1.05469,1.3611
16/08/2011 00:00:00,1.05086,1.05149,1.04072,1.04871,1.05054,1.05121,1.04053,1.04829,1.5486
15/08/2011 00:00:00,1.03541,1.05134,1.03541,1.05086,1.03498,1.05118,1.03492,1.05054,1.4444
12/08/2011 00:00:00,1.03539,1.03636,1.02467,1.03541,1.03502,1.03614,1.02445,1.03498,1.6991
11/08/2011 00:00:00,1.01811,1.03606,1.01124,1.03539,1.01748,1.03585,1.01101,1.03502,1.8279
10/08/2011 00:00:00,1.03567,1.04172,1.01695,1.01811,1.03488,1.04118,1.01671,1.01748,2.0997
09/08/2011 00:00:00,1.01886,1.03792,0.99289,1.03567,1.01863,1.03777,0.99260,1.03488,1.9960
08/08/2011 00:00:00,1.04668,1.04668,1.01817,1.01886,1.04641,1.04641,1.01794,1.01863,2.8005
05/08/2011 00:00:00,1.04661,1.05281,1.03764,1.04668,1.04633,1.05262,1.03743,1.04641,2.4457
04/08/2011 00:00:00,1.07571,1.07801,1.04585,1.04661,1.07518,1.07784,1.04560,1.04633,2.2141
03/08/2011 00:00:00,1.07812,1.07874,1.06797,1.07571,1.07775,1.07852,1.06784,1.07518,1.1604
02/08/2011 00:00:00,1.09729,1.10084,1.07795,1.07812,1.09690,1.10064,1.07760,1.07775,-1.1202
